ID;Nom;Référence;Catégorie;Sous-catégorie;Sous-sous-catégorie;Description;Prix HT;Prix TTC;Prix HT Promo;Prix TTC Promo;En Promo;Stock;Disponible;Slug;SEO Titre;SEO Description;SEO Mots-clés;Couleurs;Date de création
09049c8f-615f-4502-8fc5-7766c0e43903; Câble Triphasé 32 A - 10m; Câble Triphasé 32 A - 10m;technique;sonorisation;materiel-dj;"**Câble Triphasé 32A – 10m : La puissance maîtrisée pour vos événements en Île-de-France.**

Assurez une alimentation électrique fiable et performante pour vos événements en Île-de-France avec notre câble triphasé 32A de 10 mètres. Indispensable pour les professionnels du son et de l'éclairage, ce câble robuste garantit une distribution optimale de l'énergie, évitant les coupures et assurant le bon fonctionnement de votre matériel DJ, sonorisation et jeux de lumière.

Que ce soit pour un mariage féérique en Seine-et-Marne (77), un séminaire d'entreprise dans les Yvelines (78) ou un événement institutionnel à Paris (75), ce câble vous offre la tranquillité d'esprit. Sa longueur de 10 mètres vous offre une grande flexibilité d'installation. Combinez-le avec nos groupes électrogènes et nos systèmes de distribution électrique pour une solution complète.

Simplifiez votre organisation événementielle en Île-de-France. Contactez ESIL-events pour la location de votre câble triphasé 32A et bénéficiez de notre expertise.";10;12;;;Non;0;Non;cable-triphase-32-a-10m-1;Location Câble Triphasé 32A Paris - Son Pro Événementiel;Besoin d'un câble triphasé 32A pour votre événement en Île-de-France ? Location fiable et pro, 10m, pour une sonorisation impeccable. Contactez ESIL-Events, lea;location cable triphasé 32a Paris, cable triphasé 32a 10m location, location materiel sonorisation evenementiel, location cable alimentation evenement, cable triphasé evenement Ile-de-France, location materiel dj professionnel paris, location cable triphasé mariage, alimentation electrique evenementiel, location materiel technique son paris, esil events;;30/07/2025
5ce633cf-9dde-4ce0-bd9c-591c40ce3b43; Enceinte Autonome sur Batterie ; Enceinte Autonome sur Batterie ;technique;sonorisation;sono-portable;"**L'Enceinte Autonome Chesley BAM 10 : Votre Son Nomade d'Exception en Île-de-France !**

Transformez vos événements en Île-de-France avec cette enceinte sur batterie. Mariages enchanteurs dans les Yvelines (78), séminaires dynamiques à Paris (75), ou cocktails réussis dans le Val-de-Marne (94) : profitez d'un son puissant et clair où que vous soyez. Connectivité Bluetooth, USB, XLR/Jack, et caddie intégré pour une mobilité optimale.

La BAM 10 offre un amplificateur intégré, un mixeur 3 canaux et 5.5h d'autonomie. Imaginez une conférence captivante en Seine-Saint-Denis (93) ou une animation sportive en Essonne (91). Dimensions : 38x37x61.2cm, poids : 18.6kg.

Combinez-la avec nos jeux de lumière pour une ambiance inoubliable. Pour une location simple et efficace en Île-de-France, contactez ESIL-events.";62.5;75;;;Non;0;Oui;enceinte-autonome-sur-batterie;Location Enceinte Autonome Paris | Son Pro Événementiel;Son nomade d'exception pour vos événements en Île-de-France ! Louez notre enceinte autonome sur batterie. Puissante, mobile et facile à utiliser. Demandez un de;location enceinte autonome sur batterie Paris, enceinte sono portable événementiel, location sono sans fil Île-de-France, sonorisation événement batterie, location enceinte Bluetooth événement, location enceinte autonome mariage Paris, sonorisation conférence mobile, location matériel sono professionnel, location enceinte portable Chesley BAM 10, location sono événementielle;;28/04/2025
4b3bf53c-f053-482c-b189-d1132f458f19; Location Bartop Metal-Slug ; Bartop Metal-Slug ;jeux;jeux-d-arcades;bartop;"<h2><br></h2><h3><strong style=""color: rgb(153, 51, 255);"">Caractéristiques</strong></h3><table><tbody><tr><td data-row=""1"">Caractéristique</td><td data-row=""1"">Détail</td></tr><tr><td data-row=""2""><strong>Dimensions</strong></td><td data-row=""2"">Hauteur : 75 cm, Largeur : 64 cm, Profondeur : 64 cm</td></tr><tr><td data-row=""3""><strong>Poids</strong></td><td data-row=""3"">40 kg</td></tr><tr><td data-row=""4""><strong>Alimentation</strong></td><td data-row=""4"">220 V</td></tr><tr><td data-row=""5""><strong>Nombre de joueurs</strong></td><td data-row=""5"">2 joueurs</td></tr><tr><td data-row=""6""><strong>Jeux inclus</strong></td><td data-row=""6"">+ 2 500 jeux rétro années 80-90</td></tr><tr><td data-row=""row-q54y""><br></td><td data-row=""row-q54y""><br></td></tr></tbody></table>";65;78;6;7.2;Non;0;Oui;bartop-metal-slug;Bartop Metal Slug à louer – ESIL EVENTS Paris, 75, Yvelines ;Location Bartop Metal Slug avec ESIL EVENTS à Paris, 75, Yvelines et Île-de-France. Compacte, rétro et +2 500 jeux pour une animation immersive et fun.;location bartop metal slug ile de france, bartop metal slug evenement, jeux arcade location paris, location jeux de cafe ile de france, animation evenement retro paris, location borne arcade metal slug, location jeux evenementiel 75, location bartop pas cher, animation gaming entreprise, esil events;;06/05/2025
40cfeb04-6a18-4a35-be67-e09a1f5ad749; Showbar 2x PAR, 2x Butterfly, Laser R/G ; Showbar 2x PAR, 2x Butterfly, Laser R/G ;technique;eclairage;projecteur-led;"**Illuminez vos événements en Île-de-France avec le Showbar ESIL-events !**

Transformez vos soirées, mariages et événements d'entreprise en spectacles lumineux inoubliables avec notre Kit Showbar. Combinez 2 PAR puissants, 2 effets Butterfly dynamiques et un laser R/G saisissant pour une ambiance festive garantie. Facile à installer et à utiliser, ce kit est idéal pour les DJs, salles de concert ou particuliers souhaitant impressionner leurs invités en région parisienne.

Créez des ambiances sur mesure grâce aux multiples modes (DMX, auto, musique) et aux effets stroboscopiques. Imaginez un mariage étincelant en Seine-et-Marne (77), une soirée d'entreprise mémorable dans les Yvelines (78), ou un événement institutionnel prestigieux à Paris (75). Dimensions compactes (280 x 150 x 135 mm) et poids léger (1,45 kg) pour une installation facile partout en Île-de-France.

Pour une expérience complète, associez le Showbar à notre service de régie son et lumière. Besoin d'un éclairage encore plus spectaculaire ? Explorez nos spots LED additionnels. Contactez ESIL-events dès aujourd'hui pour la location de votre Showbar en Île-de-France et faites briller votre événement !";62.5;75;;;Non;0;Oui;showbar-2x-par-2x-butterfly-laser-rg;location barre lights Showbar 2x PAR Location Paris;Illuminez vos événements en Île-de-France avec le Showbar led ESIL-events  Ambiance garantie pour mariages et soirées d'entreprise. facile et rapide à installer;Showbar 2x PAR Butterfly Laser R/G paris 75, location showbar paris 75, éclairage événementiel île de france, lumière soirée entreprise, location projecteur led paris, location matériel éclairage événementiel, effets lumière mariage 77 78 91 92 93 94 95, location lumière professionnelle paris, ambiance lumineuse événement,location barre lights Showbar led paris 75,location barre lights Showbar led pour mariage Yvelines 78;;02/05/2025
de707212-d76b-4882-adbd-b52773ff2095;Antenne UHF directionnelle active - JTS UDA-49A;Antenne UHF directionnelle active - JTS UDA-49A;technique;sonorisation;micros-et-pieds-de-micros;"L'antenne UHF directionnelle active JTS UDA-49A optimise la transmission sans fil de vos événements. Compacte (360x350x36mm, 350g), elle offre une portée UHF stable et puissante, idéale pour micros et casques sans fil.

Son installation est aisée sur trépieds (9/16mm). Son orientation directionnelle réduit les interférences, assurant un son cristallin. Branchement BNC et finition robuste garantissent une performance fiable.

Parfaite pour DJ, concerts ou conférences. Combinez-la avec nos systèmes son et lumières LED pour un événement techniquement impeccable. Un indispensable pour des transmissions sans fil fluides et professionnelles.

Mots-clés: antenne UHF, transmission sans fil, JTS UDA-49A, micro sans fil, matériel DJ.";12.5;15;;;Non;0;Oui;antenne-uhf-directionnelle-active-jts-uda-49a;Location Antenne UHF Directionnelle JTS UDA-49A | ESIL Events;Optimisez le son de vos événements avec l'antenne UHF JTS UDA-49A en location chez ESIL Events. Portée stable, installation facile. Solution pro pour DJ, concerts, conférences.;location antenne UHF directionnelle JTS UDA-49A, antenne UHF location événement, location antenne sans fil professionnelle, prix location antenne UHF, tarif location antenne JTS UDA-49A événement, location antenne UHF région parisienne, location matériel sonorisation professionnel, location antenne micro sans fil, antenne UHF pour événementiel, antenne directionnelle location France, location antenne UHF haut de gamme;;30/04/2025
55dbf9c7-ef0f-45f9-92b0-04d89e454ac3;Arcades enfants - Double simulateur voiture;Double simulateur voiture;jeux;jeux-enfants;arcades-enfants;"**Double Simulateur Voiture : Transformez vos événements en Île-de-France en circuits de course inoubliables !**

Offrez aux enfants un divertissement palpitant avec notre double simulateur. Idéal pour mariages, anniversaires, ou événements d'entreprise en Île-de-France (75, 77, 78, 91, 92, 93, 94, 95), il garantit excitation et rires. Facile à installer, il transforme n'importe quel espace en une zone de jeu captivante.

Imaginez les enfants s'affronter, stimulant l'ambiance festive! Combinez-le avec nos espaces lounge enfant et animations sur mesure pour une expérience ESIL-events complète en région parisienne. Parfait pour les professionnels recherchant un atout attractif lors de leurs événements.

Prix attractif (125€ TTC). Contactez ESIL-events, votre créateur d'événements inoubliables en Île-de-France, pour la location de ce simulateur et faites vrombir le plaisir !";105;126;;;Non;0;Oui;arcades-enfants-double-simulateur-voiture;Location Arcade Enfants - Double Simulateur Voiture |;Louez un double simulateur voiture pour enfants et dynamisez votre événement  animation garantis pour arbre de Noël ,anniversaire location  en Île-de-France ;Location Arcade enfants paris 75, Double simulateur voiture enfants yvelines 78, Location simulateur voiture enfants 75, Jeux de café et loisirs paris 75, Jeux & Animation IDF , Location jeux événementiel Yvelines 78, Animation enfant Paris 75, Location événementiel Île-de-France, Jeux pour enfants arbre de noel ,Location arcade pour enfant pour annversaire Paris 75,;;27/05/2025
4488bfac-e939-4435-84cc-1198d213b4e8;Arcades enfants - Pack 3 jeux;Pack 3 jeux;jeux;jeux-enfants;arcades-enfants;"**Arcades enfants : Transformez votre événement en Île-de-France en un paradis ludique !**

Offrez un festival de rires avec notre Pack 3 jeux arcade (Tape Taupe, Grenouille, Simulateur Voiture). Idéal pour particuliers, entreprises et institutions en Île-de-France, il dynamise instantanément vos événements. Imaginez les enfants captivés, créant une ambiance mémorable à chaque instant ! Prix HT : 295.83€.

Facile à installer, ce pack promet un succès garanti. Parfait pour mariages, anniversaires, séminaires, ou événements d'entreprise en région parisienne (75, 77, 78, 91, 92, 93, 94, 95). Combinez-le avec nos espaces lounge enfant et animations sur mesure pour une expérience inoubliable.

Contactez ESIL-events dès aujourd'hui et illuminez votre prochaine célébration en Île-de-France !";295;354;;;Non;0;Oui;arcades-enfants-pack-3-jeux;Location Arcades Enfants - Pack 3 Jeux en IDF ;Animez votre événement avec notre pack de 3 arcades enfants  (Tape Taupe, Grenouille, Voiture) pour les fêtes de fin d'années, Arbre de Noël en IDF et France ;Arcades enfants Paris 75, Pack 3 jeux enfants Yvelines 78, Jeux d'arcade location enfants Paris , Location jeux événementiel pour CE Paris , Animation enfantine, Jeux de café et loisirs, Événementiel enfants IDF, Location jeux enfants Île-de-France, Location jeux pour enfants Paris 75 ,Location bornes d'arcades pour fete fin d'année Paris 75,Location jeux enfants pour abre de Noel paris et france;;27/05/2025
328beea6-1805-4f92-9621-e310bc9bcbbc;Arcades enfants - Tape Grenouille;Tape Grenouille;jeux;jeux-enfants;arcades-enfants;"Arcades enfants - Tape Grenouille : L'animation ludique qui captive les plus jeunes !

Offrez un divertissement inoubliable aux enfants avec l'arcade ""Tape Grenouille"". Ce jeu de café et de loisirs, spécialement conçu pour les plus petits, est la promesse d'instants de joie et de rires lors de vos événements. Facile à installer, l'arcade ""Tape Grenouille"" s'intègre parfaitement à tout type d'espace dédié aux enfants.

Dynamisez votre événement avec cette animation interactive! Imaginez les enfants s'amusant autour de cette arcade, créant une ambiance festive et chaleureuse. Combinez-la avec nos espaces lounge enfant et notre service d'animation pour une expérience complète.

La location de l'arcade ""Tape Grenouille"" est une solution simple et efficace pour garantir le succès de votre événement auprès des plus jeunes. Contactez-nous pour plus d'informations !";105;126;;;Non;0;Oui;arcades-enfants-tape-grenouille;Location Arcade Enfant Tape Grenouille - Jeux Événementiel Premium;Animez vos événements avec l'arcade enfant Tape Grenouille ! Location de jeux de café premium pour événements en Île-de-France et partout en France. Demandez un devis personnalisé !;Arcades enfants Tape Grenouille, location arcade enfant, jeux événementiel, jeux de café et loisirs, animation enfant, location jeux Île-de-France, location jeux Paris, événementiel premium, location France entière, ESIL-events;;27/05/2025
df584545-5b09-4c75-a692-76f8f157df7c;Arcades enfants - Tape Taupe;Tape Taupe;jeux;jeux-enfants;arcades-enfants;"Arcade Tape Taupe : L'étincelle ludique qui illumine l'enfance !

Offrez aux plus jeunes une aventure palpitante avec l'arcade ""Tape Taupe"". Ce jeu de café et de loisirs, conçu par ESIL-events, transforme chaque événement en un festival de rires. Facile à installer, cette arcade captive l'attention et dynamise vos espaces enfants, créant une ambiance festive inoubliable.

Imaginez les enfants, les yeux pétillants, s'amusant autour de cette animation interactive. Pour une expérience complète, combinez ""Tape Taupe"" avec nos espaces lounge enfant et nos services d'animation sur mesure. ESIL-events, créateur d'événements inoubliables.

La location de l'arcade ""Tape Taupe"" est une solution simple et efficace pour garantir le succès de votre événement. Contactez-nous pour illuminer vos événements !";105;126;;;Non;0;Oui;arcades-enfants-tape-taupe;Location Arcade Tape Taupe Enfants - Jeux Événementiels Premium;Louez l'arcade Tape Taupe pour enfants et illuminez vos événements ! Jeux de café et loisirs premium disponibles à la location partout en France. ESIL-events : Votre partenaire événementiel en région parisienne et au-delà. Contactez-nous !;Arcade Tape Taupe, location arcade enfants, jeux événementiels, jeux de café et loisirs, animation enfantine, location jeux de café, événementiel enfant, location matériel événementiel, ESIL-events, location jeux Île-de-France, location jeux Paris, livraison France entière, jeux premium, animation sur mesure;;27/05/2025
c14445ca-f8c3-4003-a44d-b5883a2c1473;B·Hype M - Système Audio Portable avec Microphone Sans Fil, Bluetooth, USB;B·Hype M - Système Audio Portable avec Microphone Sans Fil, Bluetooth, USB;technique;sonorisation;sono-portable;"**B·Hype M : Votre Son Nomade d'Exception en Île-de-France !**

Le B·Hype M transforme vos événements, des mariages aux séminaires ! Ce système audio portable avec woofer 10"" et batterie longue durée (4h) offre puissance et mobilité. Facile à transporter grâce à ses roues et sa poignée, il assure un son clair et puissant partout en Île-de-France.

Bluetooth, USB, SD, micro sans fil : profitez d'une connectivité totale pour une ambiance personnalisée. Léger (12,5kg), il s'installe aisément. Dimensions : 300 x 568 x 301 mm. Pensez à l'associer à nos jeux de lumière pour une expérience immersive inoubliable à Paris, Seine-et-Marne ou Yvelines. Embase 35mm pour montage sur pied.

B·Hype M, c'est un son pro sans contraintes. Envie d'une sonorisation performante pour votre événement en Essonne, Hauts-de-Seine ou ailleurs en Île-de-France (75, 77, 78, 91, 92, 93, 94, 95)? Contactez ESIL-events pour une location sur mesure !";62.5;75;;;Non;0;Oui;bhype-m-systeme-audio-portable-avec-microphone-sans-fil-bluetooth-usb;Location Enceinte Portable sur batterie Bluetooth B·Hype;Louez l'enceinte portable B·Hype M pour vos événements ! Son pro, micro sans fil, Bluetooth et USB. Idéal pour mariages, séminaires ,animation commerciale ;location enceinte bluetooth événement paris , location enceinte portable avec micro sans fil, location système audio B·Hype 75, location enceinte événementielle sur batterie 78, location enceinte portable pour mariage, location enceinte portable Paris, location enceinte région parisienne, location sono événement France, location enceinte professionnelle, location enceinte haut de gamme, enceinte portable sur batterie bluetooth paris 75, location matériel sonorisation séminaire,location enceinte autonome IDF;;28/04/2025
